Machine Name,Type,Ease of Use,Capacity (Liters),Power Consumption (kW),Price (INR),Price (USD),Brew Time (Minutes),Weight (kg),Brew Quality,Image URL
Aeropress Go,Manual Press,Easy,0.3,0,3399.15,39.99,3,0.4,Excellent,https://kcroasters.com/cdn/shop/products/aeropress-go-coffee-maker-3_2048x.jpg?v=1626864214
Ascaso Dream PID,Espresso,Advanced,1.3,1.1,84575,995,3.5,10,Exceptional,https://www.hebbey.com/cdn/shop/files/DREAM-PID-001-ANTRACITA_1200x1200.jpg?v=1688982552
BALMUDA The Brew,Drip,High,0.5,0.6,29665,349,4,3.7,Exceptional,https://us.balmuda.com/cdn/shop/products/EC_3.png?v=1681410359
Behmor Connected Coffee Maker,Drip,Moderate,1.2,1.3,16915,199,8,3.6,Good,https://www.wholelattelove.com/cdn/shop/products/15-brazenplus-brewer-w-cup_behmor_web_1000x1000_1_1_1000x.jpg?v=1551727299
Bella Pro Dual Brew 90192,Single Serve Coffee Maker,Compatible with K-Cups and ground coffee,1.4,1.2,11045.75,129.95,1.5,3,Flexible for various brew styles,https://i.ebayimg.com/images/g/ddsAAOSw0gRlMDVp/s-l1600.jpg
Black+Decker CM1160B,Drip,Easy,1.25,0.8,3399.15,39.99,9,2.1,Moderate,https://m.media-amazon.com/images/I/51ErPtDy21L._SL1500_.jpg
Bonaverde Berlin,"Roast, Grind, Brew",Moderate,1.2,1.45,76415,899,15,8,Exceptional,https://i.pcmag.com/imagery/reviews/035U7d0YzE6m46TTFzb1vgU-10..v1569479643.jpg
Bonavita Connoisseur BV1901TS,Drip Coffee Maker,One-touch brewing with thermal carafe,1.2,1.4,12745.75,149.95,6,3.5,Optimal temperature for consistent flavor,"https://m.media-amazon.com/images/I/71LO8NAxohL._AC_UF350,350_QL80_.jpg"
Bosch Tassimo My Way TAS6002GB,Pod,Easy,1.3,1.3,15215,179,1.5,3.1,Good,https://m.media-amazon.com/images/I/811g6HK2mfL.jpg
Breville Bambino Plus BES500BSS,Manual Espresso Machine,Quick heat-up and automatic milk texturing,1.5,1.6,42495.75,499.95,3,6.8,Consistent and creamy espresso shots,https://5.imimg.com/data5/SELLER/Default/2023/12/364926456/IH/RY/IX/2455005/breville-bambino-plus-espresso-machine-500x500.jpg
Breville Barista Express BES870XL,Espresso Machine with Grinder,Advanced,2,1.6,59495.75,699.95,2,10.6,Excellent,https://caramelly.in/cdn/shop/files/sagebreville-the-barista-express-espresso-machine-ses875-1_800x.jpg?v=1722408515
Breville Barista Pro BES878BSS,Semi-Automatic Espresso Machine,Integrated grinder and intuitive LCD display,2.2,1.8,67995.75,799.95,1.5,9,High-quality espresso with precise temperature control,https://images-cdn.ubuy.co.in/65780edfeb59741be05092ca-breville-barista-pro-espresso-machine.jpg
Breville Barista Touch BES880BSS,Espresso,Moderate,2.5,1.5,84995.75,999.95,3.8,8.9,Exceptional,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMJLN6YKOgKccx4qgG6aR85tX1QK3PGZTdzw&s
Breville Café Roma ESP8XL,Espresso,Easy,1.2,1.5,21250,250,3.5,6.2,Excellent,https://m.media-amazon.com/images/I/71RbG6awmXL.jpg
Breville Duo-Temp Pro BES810,Espresso,Moderate,1.8,1.6,42495.75,499.95,3.2,7.8,Exceptional,https://www.breville.com/content/dam/breville/us/assets/espresso/finished-goods/bes810-the-duo-temp-pro/bes810bssusc-the-duo-temp-pro/images/BES810BSSUSC-the-duo-temp-pro-beverages-espresso-carousel2.jpg
Breville Grind Control,Drip Coffee Maker with Grinder,Advanced,1.8,1.55,29750,350,5,6.8,Excellent,https://www.breville.com/content/dam/breville/us/assets/espresso/finished-goods/bes810-the-duo-temp-pro/bes810bssusc-the-duo-temp-pro/images/BES810BSSUSC-the-duo-temp-pro-beverages-espresso-carousel2.jpg
Breville Oracle Touch BES990BSS,Fully Automatic Espresso Machine,Touchscreen with automatic grinding and frothing,2.5,2.4,212495.75,2499.95,1.5,15,Barista-quality espresso with milk microfoam,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR6Hav9SrVe64GweZZXZdz_2h0fZc5T07uAiA&s
Breville Precision Brewer BDC455,Drip,Moderate,1.8,1.65,28045.75,329.95,5.5,3.6,Excellent,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaub3urywKJQaT3SfNDQGUUEvEAxmjqXrv0A&s
Breville Smart Grinder Pro BCG820BSS,Grind,Moderate,0.8,0.16,16995.75,199.95,5,2.4,Good,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMvoK3PRRV8a5Oese1G7JcrOevwYe8ZhEQJg&s
Bunn Speed Brew Elite CSB2B,Drip,Easy,1.7,1.5,11049.15,129.99,4,3.9,Good,https://images-cdn.ubuy.co.in/6356b50bf9b0f470e1160856-bunn-csb2b-speed-brew-elite-10-cup.jpg
Café Smart Drip C7CDAAS3PD3,Smart Drip Coffee Maker,App-controlled brewing with WiFi compatibility,1.8,1.5,28045.75,329.95,7,3.6,Customizable brew strength and temperature,https://cdn11.bigcommerce.com/s-dj46qhetxl/images/stencil/1280x1280/products/123961/294281/6f3885cb93bfd0adcff11e43e8727592f78b60ae__70361.1679107598.jpg?c=1
Café Specialty Grind & Brew Coffee Maker (C7CGAAS4TW3),Bean-to-cup Grinder and Drip Coffee,Advanced,2.2,1.5,21245.75,249.95,5,6.35,Certified Gold Standard,https://s3.amazonaws.com/productuploader-uploads/staging/2/Image/9041613_1710745398_g3uaxkhipzphevbocmnh
Cafflano Kompact,Manual,Moderate,0.5,0,8415,99,3.5,0.8,Excellent,https://m.media-amazon.com/images/I/61-rZHMzhTL.jpg
Capresso Café TS Espresso 124.01,Espresso,Easy,1.3,1.4,33999.15,399.99,2.8,4,Excellent,https://cdn11.bigcommerce.com/s-59xg43cj3a/images/stencil/1280x1280/products/13730/15819/124.01_1__61368.1657726987.png?c=1
Capresso Steam PRO 304.01,Steam Espresso Maker,Compact and beginner-friendly,0.5,0.6,5949.15,69.99,4,2.5,"Good for small servings, moderate pressure",https://m.media-amazon.com/images/I/71gaytxtuSL.jpg
Cuisinart Burr Grind & Brew DGB-900BC,Drip Coffee Maker with Grinder,Easy to program with auto shut-off,1.25,1.1,19545.75,229.95,5,3.9,Rich and flavorful with burr grinding,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSojBb3UAt70JisFLr7K-UPhyyNT5dohZv5w&s
Cuisinart Coffee Center Barista Bar 4-in-1 (SS-4N1),"Drip, Single-Serve, and Espresso Capsule Machine",Medium,2.1,1.2,25495.75,299.95,8,6.35,Excellent,https://www.cuisinart.com/dw/image/v2/ABAF_PRD/on/demandware.static/-/Sites-master-us/default/dw6d194a14/images/large/ss4n1_straight_hero.jpg?sw=1200&sh=1200&sm=fit
Cuisinart Coffee on Demand DCC-3000,Drip,Easy,2.1,1.25,10115,119,6,4.5,Good,"https://m.media-amazon.com/images/I/61O7R7L4Z8L._AC_UF1000,1000_QL80_.jpg"
Cuisinart PerfecTemp DCC-3200P1,Drip Coffee Maker,Medium,1.6,1.2,8500,100,7,3.4,Good,https://images.thdstatic.com/productImages/9ec462ef-8706-4509-b22d-5e523fd24442/svn/stainless-steel-cuisinart-drip-coffee-makers-dcc-3200p1-c3_600.jpg
Cuisinart Single Serve SS-10P1,Single Serve,Easy,1.2,1.2,12749.15,149.99,3,2.6,Good,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5rQDA0O4ngOak6dIfatttd9LFEBwFUhJrAQ&s
DeLonghi All-in-One Combination Coffee Maker (COM532M),Drip & Espresso Machine,High,1.2,1.5,18695.75,219.95,6,6.17,Excellent,https://blog.bestbuy.ca/wp-content/uploads/2020/12/DeLonghi-All-in-One-review-7.jpg
De'Longhi Dedica EC685M,Manual Espresso Machine,Slim design with milk frother,1,1.3,25499.15,299.99,2.5,4.2,Balanced espresso with good froth quality,"https://m.media-amazon.com/images/I/61rAPKcQEwL._AC_UF894,1000_QL80_.jpg"
De'Longhi EC860,Espresso,Moderate,1.5,1.4,38165,449,2.5,4.2,Excellent,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZDm1x2KRqMHpO0w5X-HTQyFmk_kYaHoE2Qg&s
De'Longhi Lattissima Pro EN750MB,Pod,Easy,1.3,1.3,50995.75,599.95,2.5,5.8,Exceptional,https://pdbimg.choice.com.au/delonghi-nespresso-lattissima-pro-en750mb_4.JPG
De'Longhi Magnifica Plus ECAM32070SB,Fully Automatic Coffee Machine,One-touch customization with LatteCrema system,2,1.9,118999.15,1399.99,2,9.8,Premium with consistent milk frothing,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHyXPRTEu13FxM0stOYVM_acsE6kLxnfRAxw&s
De'Longhi PrimaDonna Elite ECAM650.55MS,Super Automatic,Moderate,2.5,1.45,254915,2999,1.5,11.5,Exceptional,https://images.jdmagicbox.com/quickquotes/images_main/delonghi_bean_to_cup_automatic_primadonna_elite_coffee_maker_metal_black_ecam_650_55_ms__25639703_0.jpg
Delter Coffee Press,Manual Press,Easy,0.4,0,2974.15,34.99,3.5,0.2,Good,https://m.media-amazon.com/images/I/71hLL0fA0UL.jpg
Drink Morning Coffee Maker,Pod,Moderate,0.8,1.2,50915,599,3.5,2.7,Exceptional,https://image-cdn.hypb.st/https%3A%2F%2Fhypebeast.com%2Fimage%2F2020%2F09%2Fmorning-machine-coffee-brewer-kickstarter-05.jpg?q=75&w=800&cbr=1&fit=max
Dualit Espress-auto 84460,Espresso,Moderate,1.5,1.25,25415,299,4,6,Good,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1584/1584053_ra.jpg
Espressione Concierge 8212S,Super Automatic,Easy,1.1,1.2,76415,899,2,6.8,Exceptional,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWGlvtzlnJOXoC4USIljwwdW6pyw9s-Y9qNA&s
Fellow Ode Brew Grinder,Grind,Easy,0.8,0.14,25415,299,3,4.5,Good,https://www.benkibrewingtools.com/cdn/shop/products/ezgif.com-gif-maker_10_1024x1024.jpg?v=1602597674
Gaggia Brera Super Automatic,Super Automatic,Easy,1.25,1.4,42415,499,2.5,8.5,Excellent,https://m.media-amazon.com/images/I/91BJPPtFoHL.jpg
Gaggia Classic Pro RI9380/46,Espresso,Moderate,2.1,1.45,38165,449,2.8,7.2,Exceptional,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQgmFMm6WiF4s3WJkmVX9w6dtKGqD_c8wjE8w&s
GE Café Specialty Drip Coffee Maker C7CDAAS2PBS1,Smart Drip Coffee Maker,WiFi-enabled with Alexa/Google integration,1.9,1.6,29749.15,349.99,6,3.8,Excellent temperature control for smooth coffee,https://m.media-amazon.com/images/I/51tmHkyo75L.jpg
Hamilton Beach 2-Way Brewer 49980A,Drip/Single Serve,Easy,1.5,0.95,5949.15,69.99,7.9,2.9,Good,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqwQYJaxLoTOIbKPm6Kpmmjfno7gqxNsLBTQ&s
Hamilton Beach FlexBrew 49976,Dual Coffee Maker,Single-serve or carafe brewing options,1.5,1.3,11045.75,129.95,4,2.8,Good for versatile coffee needs,https://crdms.images.consumerreports.org/prod/products/cr/models/392432-coffeemakers-hamiltonbeach-flexbrew2waybrewer49976.png
Hamilton Beach FlexBrew Single Serve 49974,Single Serve,Easy,0.6,1,5099.15,59.99,3.5,1.6,Good,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSeuzwQNQk9cxtIs7pNTIrUurMNiEfWWF-5MA&s
Hario V60 Drip Decanter,Manual Drip,Moderate,0.6,0,3400,40,5,0.6,Excellent,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTF1WRwpEjblmpLXNQhyJ0Zf9u6fVYc4BXz4A&s
Illy Y3.3 Iperespresso,Pod,Easy,0.9,1.25,12665,149,2.5,3.2,Excellent,"https://m.media-amazon.com/images/I/61dYq1FCcDL._AC_UF894,1000_QL80_.jpg"
Jura A1 Super Automatic,Espresso Machine,Medium,1.1,1.45,84915,999,1,9.4,Excellent,https://www.seattlecoffeegear.com/cdn/shop/articles/a1_imagegallery_2.jpg?v=1699905770
Jura ENA 8 Nordic White 15281,Fully Automatic Coffee Machine,Compact with touchscreen functionality,1.1,1.45,152915,1799,2,8.5,Excellent aroma and crema for espresso and coffee,https://www.torkecoffee.com/cdn/shop/products/ezgif-7-5c3e7a6a2175_600x600.png?v=1596814546
Jura GIGA 10 Specialty Coffee Machine,Fully Automatic Coffee Machine,Advanced touchscreen with multiple customization options,2.6,2.3,509995.75,5999.95,3,18.1,Exceptional with dual grinders and precise brewing,https://caramelly.in/cdn/shop/products/jura-giga10-coffee-machine-diamond-black-330778_1600x.jpg?v=1681642545
Jura Impressa E8 15226,Super Automatic,Easy,2.3,1.45,186915,2199,2,9.8,Exceptional,https://cdn.denbydalecoffee.co.uk/wp-content/uploads/2018/05/Jura-E8-Front.jpg
Jura Z10 15476,Fully Automatic Espresso & Coffee Machine,Advanced features with cold brew capability,2.4,1.6,339995.75,3999.95,3.5,11.2,Exceptional with cold brew innovations,https://jura-ksa.com/wp-content/uploads/2023/07/Z10_Diamond_Black_EA_15349_image2.jpg
Kalita Coffee Machine CM-102,Drip,Easy,1.2,0.9,10115,119,6,2.5,Good,"https://m.media-amazon.com/images/I/91pi37o3dTL._AC_UF894,1000_QL80_.jpg"
Kalita Wave 185 Dripper,Manual Drip,Moderate,0.5,0,3825,45,5,0.4,Excellent,https://m.media-amazon.com/images/I/51Vk5vuFw9L.jpg
Keurig K-Elite,Single-Serve Pod Machine,Very High,2.2,1.4,16149.15,189.99,0.5,3.9,Good,"https://m.media-amazon.com/images/I/71GkznDgpuL._AC_UF894,1000_QL80_.jpg"
Keurig K-Express Essentials,Single Serve,Easy,1.2,1.2,6799.15,79.99,3.2,2,Good,https://i5.walmartimages.com/asr/a3b8c98d-d41a-4006-af50-1389d897afcd.86be450aacd2d20ddcc71ee71aac2bf4.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Keurig K-Slim K910,Single Serve,Easy,1,1.15,9349.15,109.99,3,2,Good,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJEh0yhprbCmBLWaruHpovSC0Ed8GfefTpSg&s
Keurig K-Supreme Plus SMART KSC84,Pod-Based Coffee Maker,WiFi-enabled with BrewID technology,1.8,1.5,16999.15,199.99,2,4,"Good, with strength and temperature customization","https://images-na.ssl-images-amazon.com/images/I/61zmGKxxd4S._AC_UL210_SR210,210_.jpg"
KitchenAid Cold Brew Coffee Maker KCM5912SX,Cold Brew Coffee Maker,Simple setup for cold brew enthusiasts,1.9,0,8499.15,99.99,12,2.6,Smooth and balanced cold brew,https://m.media-amazon.com/images/I/61Vnx+nAGbL.jpg
KitchenAid KCM1209OB,Drip,Easy,1.8,1.2,11049.15,129.99,8,2.8,Good,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNPwMzAIdRzyrVTcgmclDrwbBcx4r_RgVDXg&s
Krups EA8298 Super Automatic,Fully Automatic Espresso Machine,Compact design with auto-clean features,1.7,1.45,63745.75,749.95,2.5,7.8,Espresso with excellent crema consistency,"https://m.media-amazon.com/images/I/815M1O7JfmL._AC_UF894,1000_QL80_.jpg"
