Machine Name,Capacity,Processing Time,Noise Levels,Weight,Dimensions,Power(W),Warranty,Batch Output,Price (INR),Price (USD),Image URL
KitchenAid Ice Cream Attachment,2 quarts,20-30 mins,60,2 kg,22 × 20 × 20 cm,0,1 year,4 servings,6800,80,https://m.media-amazon.com/images/I/414Qk52Yn0L._SX300_SY300_QL70_FMwebp_.jpg
Lello Musso Pola 5030,2 quarts,20 mins,50,30 kg,49 × 34 × 35 cm,200,1 year,5 servings,102000,1200,https://m.media-amazon.com/images/I/31ChAiA0TTS._SY300_SX300_QL70_FMwebp_.jpg
Cuisinart ICE-100,1.5 quarts,25-45 mins,65,13 kg,44 × 30 × 22 cm,150,3 years,4 servings,25500,300,https://m.media-amazon.com/images/I/41+zCW+8NSL._SY300_SX300_.jpg
Nostalgia 4-Quart Manual,4 quarts,30-60 mins,0,4 kg,40 × 30 × 30 cm,0,1 year,8 servings,3825,45,https://m.media-amazon.com/images/I/51VldngcGtL._SX300_SY300_QL70_FMwebp_.jpg
Whynter ICM-15LS,1.5 quarts,30 mins,55,10 kg,34 × 30 × 25 cm,150,1 year,4 servings,21250,250,https://m.media-amazon.com/images/I/41RwgfLSnmL._SX300_SY300_QL70_FMwebp_.jpg
Elite Gourmet EIM402,4 quarts,40-60 mins,65,3.5 kg,39 × 28 × 33 cm,60,1 year,8 servings,4250,50,https://m.media-amazon.com/images/I/411XAH9ly+L._SY300_SX300_.jpg
Cuisinart ICE-30BC,2 quarts,25 mins,65,7.7 kg,30 × 20 × 30 cm,120,3 years,4 servings,11900,140,https://m.media-amazon.com/images/I/31sXfOcRlZL._SX300_SY300_QL70_FMwebp_.jpg
Breville BCI600XL,1.5 quarts,20-40 mins,60,14 kg,40 × 30 × 22 cm,170,2 years,4 servings,38250,450,https://m.media-amazon.com/images/I/414rJef3-PL._SX300_SY300_QL70_FMwebp_.jpg
Tummbl Ice Cream Maker,1 quart,20 mins,55,1.8 kg,25 × 20 × 20 cm,0,1 year,2 servings,4250,50,https://cdn11.bigcommerce.com/s-pfq4gtwtdi/images/stencil/original/image-manager/tummbl-ice-cream-maker.png?t=1701379701
Ivation Automatic,1.6 quarts,30 mins,60,8.5 kg,35 × 27 × 22 cm,150,1 year,4 servings,14450,170,https://ak1.ostkcdn.com/images/products/is/images/direct/3fe1ec106bab44ca6afd1cf8b3a1598c66d83324/Ivation-Automatic-Ice-Cream-Maker-Machine%2C-Stainless-Steel-Yogurt-Maker.jpg?imwidth=714&impolicy=medium
Ninja Creami Deluxe,1.5 quarts,20-40 mins,65,6.8 kg,22 × 17 × 40 cm,120,1 year,4 servings,21250,250,https://m.media-amazon.com/images/I/41FrbCLAa8L._SX300_SY300_QL70_FMwebp_.jpg
Breville Smart Scoop,1.5 quarts,30-60 mins,60,13.7 kg,35 × 26 × 24 cm,170,2 years,4 servings,42500,500,https://m.media-amazon.com/images/I/414rJef3-PL._SX300_SY300_QL70_FMwebp_.jpg
Whynter ICM-201SB,2.1 quarts,30-40 mins,55,12 kg,30 × 22 × 27 cm,180,1 year,5 servings,25415,299,https://www.whynter.com/wp-content/uploads/Main-Image_ICM-201SB-2048x2048.jpg
Cuisinart ICE-21P1,1.5 quarts,20-30 mins,65,4.5 kg,22 × 17 × 17 cm,50,3 years,4 servings,5950,70,https://m.media-amazon.com/images/I/31lx6uA6XpL._SX300_SY300_QL70_FMwebp_.jpg
Hamilton Beach 68330N,4 quarts,40-60 mins,70,2.3 kg,39 × 28 × 33 cm,55,1 year,8 servings,4250,50,https://m.media-amazon.com/images/I/31C8KwC5TrL._SX300_SY300_QL70_FMwebp_.jpg
Lello 4080 Musso Lussino,1.5 quarts,20-30 mins,50,19 kg,44 × 31 × 28 cm,200,1 year,5 servings,59500,700,https://m.media-amazon.com/images/I/51jCTtNHk0L._AC_SL1000_.jpg
Nostalgia Vintage Electric,4 quarts,30-60 mins,65,3 kg,30 × 22 × 28 cm,0,1 year,8 servings,5525,65,https://m.media-amazon.com/images/I/51VldngcGtL._SX300_SY300_QL70_FMwebp_.jpg
YayLabs Ice Cream Ball,1 pint,30-40 mins,0,1 kg,15 × 15 × 15 cm,0,1 year,2 servings,2550,30,https://m.media-amazon.com/images/I/41JrpvZs1KL._SX300_SY300_QL70_FMwebp_.jpg
Elite Gourmet Old Fashioned,4 quarts,20-30 mins,65,5 kg,23 × 18 × 21 cm,100,1 years,4 servings,11900,140,https://m.media-amazon.com/images/I/31mMtyPmBdL._SX300_SY300_QL70_FMwebp_.jpg
BRIOBITE ice cream maker ,0.5 quarts,20-30 mins,70,4 kg,40 × 30 × 33 cm,75,1 year,12 servings,5100,60,https://m.media-amazon.com/images/I/61Se1PUmcqL._SX679_.jpg
Carpigiani 161 T G SP,5 liters,8 min ,60,15.06,19.5 x 26 x 32,2300,1 year,200 servings,739500,8700,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDjeYv3C_lRU4YpyLgCbZUfCYgf0UCvSHA_Q&s
Carpigiani 191 Classic,"12 liters (Pump Model), 18 liters (Gravity Model)",5 min,62,21.084,20 x 30 x 33,2400,1 year,300 servings,807500,9500,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLEL-T0C8_OZuyFtUYjxcRdMwipEmZS46JBg&s
Carpigiani LB 302 G RTX,15 quarts,10 min ,65,43.674,35 x 19.75 x 55.4,2800,1 year,80 servings,1547000,18200,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-Cdl2ZsE5mBdXrl3Dzuc2ZkaH42TSbKzbpg&s
Carpigiani LB 502 G RTX,20 quarts,12 min ,67,47.439,39 x 20 x 58,3200,1 year,120 servings,1785000,21000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdQnnQMardPQkQGUvMoW4PowIHdA8EkShEDw&s
