Machine Name,MType,Speed (kg/hr),Power Consumption (kW),Efficiency (%),Daily Capacity (kg),Dimensions (cm),Weight (kg),MachineMaterial,Manufacturer,Price (INR),Image URL
CL60 Vegetable Processor,Cutting,600,2.2,85,14400,120x60x80,100,Stainless Steel,Robot Coupe,5000,https://tse1.mm.bing.net/th?id=OIP.Wicz8yWtFN4BqjwjldvWjgHaHf
Fruit Brush Cleaner,Cleaning,800,1.5,90,19200,150x70x90,150,Stainless Steel,Goldcheer Machinery,7500,https://tse1.mm.bing.net/th?id=OIP.mX4jQHofR1MOXjVswyHNmAHaFj
Vegetable Washer,Washing,1000,2,92,24000,160x75x95,180,Stainless Steel,ProFruit Machinery,8000,https://tse4.mm.bing.net/th?id=OIP.XzFIIcJm0PmDa11UdrtxeAHaHa
Spiral Conveyor Washer,Washing,1200,2.5,94,28800,160x80x100,200,Stainless Steel,Beyond Machinery,9000,https://tse1.mm.bing.net/th?id=OIP.XgPZ0jJcx4LX_iHG6Lns2wHaHF
Multifunction Vegetable Slicer,Cutting/Dicing,700,2,88,16800,140x70x85,130,Stainless Steel,Jinyuan Food Machinery,6500,https://tse1.mm.bing.net/th?id=OIP.Wicz8yWtFN4BqjwjldvWjgHaHf
Industrial Veg. Washer GEWA 5000V,Washing,5000,3,95,120000,200x100x140,300,Stainless Steel,Kronitek,20000,https://i.machineryhost.com/3b5dca501ee1e6d8cd7b905f4e1bf723/b75687b1600ae148e5a35c84f40c5fa0/original-used-2006-kronen-gewa-5000-v-washing-machine.jpg
Fruit & Veg Slicing Machine Tona V,Slicing,1500,2.5,90,36000,150x80x120,250,Stainless Steel,Lingwood Machinery,15000,https://www.lingwood.net/wp-content/uploads/2022/02/TONA-S180K_001_M_h_cmyk_20210219_DPX.jpg
Spin Dryer Basket System,Drying,2000,2.2,88,48000,180x90x110,200,Stainless Steel,Quadra Machinery,18000,"https://res.cloudinary.com/dmj7e9a10/image/upload/w_auto,c_scale,dpr_auto,f_auto,q_auto/fresh-cut/drying/HS-FLEX/HS-FLEX.jpg"
Mango Pulper,Pulping,1200,4,92,28800,170x85x140,310,Stainless Steel,GEM Foodtech,22000,https://www.gemfoodtech.com/wp-content/uploads/2019/03/mango-pulper-500x500.jpg
French Fries Processing Line,Slicing/Frying,1500,5,90,36000,200x120x150,400,Stainless Steel,Quadra Machinery,30000,"https://res.cloudinary.com/dmj7e9a10/image/upload/w_auto,c_scale,dpr_auto,f_auto,q_auto/fresh-cut/cutting/BCM-1650/BCM-1650.jpg"
Universal Food Processor S40,Cutting/Dicing,1000,3,91,24000,160x70x100,150,Aluminum Alloy,Kronitek,14000,https://kronitek.com/wp-content/uploads/2021/11/dicing-vegetables-and-fruits-machine-1500-1.jpg
Garlic Peeler & Cutter,Peeling/Cutting,800,1.8,87,19200,120x60x80,100,Aluminum Alloy,Taizy Machinery,8500,https://taizymachinery.com/wp-content/uploads/2021/09/garlic-peeling-machine.jpg
Automatic Sorting Conveyor Line,Sorting,1200,2,94,28800,150x90x100,180,Stainless Steel,Lakewood Process,19000,https://www.lakewoodpm.com/wp-content/uploads/2011/11/roller-inspection-cucumber-150x150.jpg
Coconut Powder Grinder,Grinding,700,2.5,88,16800,140x70x90,110,Stainless Steel,Taizy Machinery,12000,https://taizymachinery.com/wp-content/uploads/2022/05/coconut-grinding-machine_2.jpg
Pineapple Core Remover,Coring/Peeling,600,1.2,85,14400,130x65x85,90,Aluminum Alloy,GEM Foodtech,9000,https://www.gemfoodtech.com/wp-content/uploads/2019/03/preheater-and-pasteurization-system-500x500-2.jpg
SORTEX FA-1200,Optical Sorter,1000,2,90,Optimized for industrial-scale operations,1200 mm width,Specific to configuration,"Stainless steel, hygienic-grade fixings",Buhler Group,14000,https://i0.wp.com/ameft.com/wp-content/uploads/2020/11/SORTEX_FA3-scaled.jpg?fit=1200%2C800&ssl=1
GEA MaxiSort Pro,Fruit & Vegetable Washer and Sorter,5000,15,85,"1,20,000",300 x 150 x 250,2000,Stainless steel,GEA Group,20000,https://cdn.gea.com/-/jssmedia/migratedfromtridion/products/gea-maxiformer-drum-forming-machine-31510.jpg?mw=400&rev=6fecb194065d4edd89c8ed8471fcbd85
Multivac R245,Packaging Machine,700,12,88,Optimized for industrial-scale operations,320 x 180 x 220,1200,High-grade polymer and steel,Multivac,45000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmbjn0iCEUmqyFaA2fjeLEpPMzCO6BNfFSDw&s
Alfa Laval Decanter ALD-300,Centrifuge Separator,8000,25,92,"1,92,000",400 x 200 x 150,2500,Stainless steel,Alfa Laval,120000,https://www.alfalaval.in/link/f048acbc45ca4e37b0d6698d9fc349c4.aspx
READYGo FVP,Cold-Extracted Juice Processing System,5000,15,80,"1,20,000",391 x 208 x 183,Specific to configuration,Food-grade stainless steel,JBT Corporation,40000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRgfh-BLF8IuQSBRMvl8Pza8KtmF9DzN0Neg&s
FVPGrow Juicer,Juicer & Separator,6000,17,78,Optimized for industrial-scale operations,Configurable for industrial use,1200,Stainless steel,JBT Corporation,150000,https://www.jbtc.com/foodtech/wp-content/uploads/sites/2/2022/09/FVPGrow_767x421-005-300x165.png
SORTEX PolarVision,Optical Sorting Technology,2000,8,91,Optimized for industrial-scale operations,Fitted to SORTEX systems,Specific to configuration,Advanced polymers and metal alloys,Bühler Group,130000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8-JUl509-5KDRsliJeyx9s6Ny6EF9-unNKg&s
Multivac T700,Tray Sealer,10000,10,87,Optimized for industrial-scale operations,220 x 120 x 160,750,Stainless steel with polymer sealing elements,Multivac,35000,https://multivac.com/ph/en/company/stories/number-of-cycles-doubled-and-the-minimum-of-staff-thanks-to-automated-loading%20process/_jcr_content/root/container/container_1714808601/container/image_150035985_copy.coreimg.png/1730379131487/vaaw02-photo-t-700.png
Kiremko Potato Peeler KP1000,Potato Peeler,1000,8,85,"24,000",140 x 80 x 120,600,Food-grade stainless steel,Kiremko,65000,https://kiremko.com/assets/uploads/2022/04/StrataInvicta_116HQtrans.png
Tetra Pak Vegetable Cutter VC-300,Vegetable Cutter,3000,12,80,"72,000",200 x 100 x 150,850,High-strength steel and polymer,Tetra Pak,50000,https://i0.wp.com/kingbros.mu/wp-content/uploads/2020/04/VC-300.jpg?fit=800%2C913&ssl=1
Heat and Control AirFry 1000,Air Fryer Processing Line,1000,30,75,"24,000",400 x 180 x 220,1500,Stainless steel,Heat and Control,200000,https://www.heatandcontrol.com/sites/default/files/content/model/image/2021-12/airfry-system-afs.jpg
